Company_Name,Skills,location,more_info
DivyaPlacementConsultant,"clinicalpsychology,psychology,clinicalpsychologist",Faridabad,https://www.timesjobs.com/job-detail/psychology-research-assistant-divya-placement-consultant-faridabad-1-to-2-yrs-jobid-uQ8HNQhZ40dzpSvf__PLUS__uAgZw==&source=srp
GEMSEDUCATION,"igcse,teaching,history,teacher,psychology,teachingscience",Dubai,https://www.timesjobs.com/job-detail/psychology-teacher-graduates-nqt-welcome-gems-education-dubai-0-to-2-yrs-jobid-dgO8y5AvSu5zpSvf__PLUS__uAgZw==&source=srp
SRIRAMACHANDRAMEDICALCOLLEGEANDRESEARCHINSTITUTE,"counselling,clinicalpsychology,studentcounsellor,psychology,studentcounselling",Chennai,https://www.timesjobs.com/job-detail/student-counsellor-sri-ramachandra-medical-college-and-research-institute-chennai-0-to-3-yrs-jobid-fuW57VnVNURzpSvf__PLUS__uAgZw==&source=srp
AmityUniversity,"clinicalpsychology,psychology,teaching,assistantprofessor,associateprofessor,publications",Noida/Greater Noida,https://www.timesjobs.com/job-detail/asst-professor-associate-professor-amity-university-noida-greater-noida-12-to-15-yrs-jobid-YovDchA3Q8xzpSvf__PLUS__uAgZw==&source=srp
cbaservicesprivatelimited,"psychology,environmentalscience,economics,science",Australia,https://www.timesjobs.com/job-detail/manager-rbs-sustainability-cba-services-private-limited-australia-2-to-5-yrs-jobid-cRj1DWTga2VzpSvf__PLUS__uAgZw==&source=srp
inquad,"counselling,principal,counsellor,psychology,english",Mohali,https://www.timesjobs.com/job-detail/career-counsellor-inquad-mohali-1-to-4-yrs-jobid-RiuKgALSME5zpSvf__PLUS__uAgZw==&source=srp
inquad,"counselling,principal,counsellor,psychology,english",Mohali,https://www.timesjobs.com/job-detail/school-counsellor-inquad-mohali-0-to-1-yrs-jobid-hAcT53GW50xzpSvf__PLUS__uAgZw==&source=srp
GEMSEDUCATION,"counselling,counsellor,psychology,english,studentdevelopment","Delhi,  Delhi/NCR",https://www.timesjobs.com/job-detail/school-counsellor-middle-school-gems-education-delhi-delhi-ncr-0-to-10-yrs-jobid-Seruq6dvjGpzpSvf__PLUS__uAgZw==&source=srp
AmityUniversity,"teaching,economics,psychology,science,english,publications",Noida/Greater Noida,https://www.timesjobs.com/job-detail/invites-applications-director-head-amity-university-noida-greater-noida-15-to-18-yrs-jobid-Kzakt78gJu9zpSvf__PLUS__uAgZw==&source=srp
"unimax
(MoreJobs)","Nursing,Psychology,Nurse,ClinicalPsychology,psychologist,oldagecare,CareProvider","Delhi,  Delhi/NCR",https://www.timesjobs.com/job-detail/fresher-clinical-psychologist-nurse-female-mr-taneja-delhi-delhi-ncr-0-to-1-yrs-jobid-8oH3SHAwGL1zpSvf__PLUS__uAgZw==&source=srp
VisaInc.,"english,operationsresearch,science,sociology,psychology,economics,statistics",,https://www.timesjobs.com/job-detail/senior-manager-consumer-insights-visa-inc-8-to-11-yrs-jobid-ADmn8oLuveBzpSvf__PLUS__uAgZw==&source=srp
VisaInc.,"english,operationsresearch,science,sociology,psychology,economics,statistics",San Francisco,https://www.timesjobs.com/job-detail/senior-manager-consumer-insights-visa-inc-san-francisco-8-to-11-yrs-jobid-Y06xzUwrK9lzpSvf__PLUS__uAgZw==&source=srp
GEMSEDUCATION,"igcse,art,maths,sociology,teaching,history,politicalscience,artteacher,music,teacher,psychology,geography,science,english",Dubai,https://www.timesjobs.com/job-detail/teachers-igcse-gems-education-dubai-0-to-11-yrs-jobid-y7X0rhI__PLUS__aqZzpSvf__PLUS__uAgZw==&source=srp
learningyogi,"maths,teaching,academicresearch,curriculumdevelopment,englishproficiency,curriculumdeveloper,psychology,english",Kolkata,https://www.timesjobs.com/job-detail/curriculum-developer-learning-yogi-kolkata-3-to-6-yrs-jobid-suF8lRk9KYNzpSvf__PLUS__uAgZw==&source=srp
ZensarTechnologiesLtd,"dml,oracle,toad,triggers,sql,unixscripting,database,git,sqldeveloper,hadoop,pl/sql",Pune,https://www.timesjobs.com/job-detail/sql-pl-sql-advance-pl-sql-zensar-technologies-ltd-pune-5-to-8-yrs-jobid-R__SLASH__TGon3pWXpzpSvf__PLUS__uAgZw==&source=srp
